,ID,Game,ReleaseDate,Developer,Publisher
73,418460,Rising Storm 2: Vietnam,2017-05-30,"Antimatter Games, Tripwire Interactive",Tripwire Interactive
74,40950,Stronghold HD,2001-10-19,FireFly Studios,FireFly Studios
75,312450,Order of Battle: World War II,2015-04-30,The Artistocrats,Slitherine Ltd.
76,105450,Age of Empires III: Complete Collection,2009-09-15,Ensemble Studios,Xbox Game Studios
77,552990,World of Warships,2017-11-15,Wargaming Group Limited,Wargaming Group Limited
78,261470,Distant Worlds: Universe,2014-05-23,Code Force,Slitherine Ltd.
79,58610,Wargame: European Escalation,2012-02-22,Eugen Systems,Eugen Systems
80,703080,Planet Zoo,2019-11-05,Frontier Developments,Frontier Developments
81,507490,Ashes of the Singularity: Escalation,2016-11-10,"Stardock Entertainment, Oxide Games",Stardock Entertainment
82,573410,AI War 2,2019-10-22,"Arcen Games, LLC","Arcen Games, LLC"
83,433340,Slime Rancher,2017-08-01,Monomi Park,Monomi Park
84,411320,"Codename: Panzers, Phase Two",2016-02-18,"Stormregion, THQ Nordic",THQ Nordic
85,208500,F1 2012,2012-09-17,Codemasters Birmingham,Codemasters
86,359320,Elite Dangerous,2015-04-02,Frontier Developments,Frontier Developments
87,252110,Lovers in a Dangerous Spacetime,2015-09-09,Asteroid Base,Asteroid Base
88,398640,Bowl Bound College Football,2015-09-03,Grey Dog Software,Viva Meda
89,351080,The Corporate Machine,2001-07-14,Stardock Entertainment,Stardock Entertainment
90,654050,JYDGE,2017-10-04,10tons Ltd,10tons Ltd
91,588950,Kingsway,2017-07-18,Andrew Morrish,Adult Swim Games
92,233150,LUFTRAUSERS,2014-03-18,Vlambeer,Devolver Digital
93,882020,Monster Energy Supercross - The Official Videogame 2,2019-02-08,Milestone S.r.l.,Milestone S.r.l.
94,979120,Autonauts,2019-10-17,Denki,Curve Digital
95,638000,When Ski Lifts Go Wrong,2019-01-23,Hugecalf Studios,Curve Digital
96,466560,Northgard,2018-03-07,Shiro Games,Shiro Games
97,222750,Wargame: Airland Battle,2013-05-29,Eugen Systems,Eugen Systems
98,241540,State of Decay,2013-11-05,Undead Labs,Xbox Game Studios
99,824070,Objects in Space,2019-03-01,Flat Earth Games,505 Games
100,266410,iRacing,2015-01-12,"iRacing.com Motorsport Simulations, iRacing","iRacing.com Motorsport Simulations, iRacing"
101,227300,Euro Truck Simulator 2,2012-10-18,SCS Software,SCS Software
102,23490,Tropico 3,2009-10-20,Haemimont Games,Kalypso Media Digital
103,323380,The Magic Circle,2015-07-09,Question,Question
104,15200,Silent Hunter: Wolves of the Pacific,2008-06-13,Ubisoft Romania,Ubisoft
105,219740,Don't Starve,0000-00-00,Klei Entertainment,Klei Entertainment
106,582270,Everything,2017-04-21,David OReilly,"David OReilly, Double Fine Presents, PLAYISM"
107,271240,Offworld Trading Company,2016-04-28,Mohawk Games,Stardock Entertainment
108,251060,Wargame: Red Dragon,2014-04-17,Eugen Systems,Eugen Systems
109,421020,DiRT 4,2017-06-08,"Codemasters, Feral Interactive (Mac), Feral Interactive (Linux)","Codemasters, Feral Interactive (Mac), Feral Interactive (Linux)"
110,545540,The Infectious Madness of Doctor Dekker,2017-05-19,D'Avekki Studios Ltd,D'Avekki Studios Ltd
111,751780,Forager,2019-04-18,HopFrog,Humble Bundle
112,40970,Stronghold Crusader HD,2002-07-31,FireFly Studios,FireFly Studios
113,45300,Wings of Prey,2010-01-08,Gaijin Entertainment,Gaijin Entertainment
114,281990,Stellaris,2016-05-09,Paradox Development Studio,Paradox Interactive
115,57690,Tropico 4,2011-09-01,Haemimont Games,Kalypso Media Digital
116,205190,Rocksmith,2012-10-16,Ubisoft - San Francisco,Ubisoft
117,492720,Tropico 6,2019-03-29,Limbic Entertainment,Kalypso Media
118,319510,Five Nights at Freddy's,2014-08-18,Scott Cawthon,Scott Cawthon
119,925550,Cross Racing Championship Extreme,2018-09-18,Invictus Games Ltd.,Invictus Games Ltd.
120,684410,Bridge Constructor Portal,2017-12-20,ClockStone,"Headup, Whisper Games"
121,33900,Arma 2,2009-06-29,Bohemia Interactive,Bohemia Interactive
122,815370,Green Hell,2019-09-05,Creepy Jar,Creepy Jar
123,228400,Ace Combat Assault Horizon - Enhanced Edition,2013-01-25,NAMCO,BANDAI NAMCO Entertainment
124,805550,Assetto Corsa Competizione,2019-05-29,Kunos Simulazioni,505 Games
125,223830,Xenonauts,2014-06-16,Goldhawk Interactive,Goldhawk Interactive
126,244050,Rise of Flight United,2013-09-05,777 Studios,1C-777
127,491950,Orwell: Keeping an Eye On You,2016-10-27,Osmotic Studios,Fellow Traveller
128,447530,VA-11 Hall-A: Cyberpunk Bartender Action,2016-06-21,Sukeban Games,"Ysbryd Games, AGM PLAYISM"
129,726830,Vacation Simulator,2019-04-09,Owlchemy Labs,Owlchemy Labs
130,287980,Mini Metro,2015-11-06,Dinosaur Polo Club,Dinosaur Polo Club
