,ID,Game,ReleaseDate,Developer,Publisher
113,386640,Affected Zone Tactics,2015-11-17,Light Vision Interactive,Light Vision Interactive
114,314860,DayBreak Online,2019-06-13,Global Games,Global Games
115,913890,Plastic soldiers,2018-11-16,Creative Black Chair,Creative Black Chair
116,716610,Battle for the Galaxy,2019-05-13,AMT Games,AMT Games
117,898590,Margonem,2019-02-20,Garmory,Garmory
118,772270,Blocked and Loaded,2018-01-19,Chris Antoni,Chris Antoni
119,422940,Divergence: Online,2016-01-06,Stained Glass Llama,None
120,838510,Find & Destroy: Tank Strategy,2018-06-12,mPower Games Studio,mPower Games Studio
121,1057740,World Of Conquerors,2019-08-30,Huntah,Darkness Development
122,951140,Bliss Maze(极乐迷宫),2018-10-17,MagicK,MagicK
123,662230,Trendpoker 3D: Texas Hold'em Poker,2017-12-11,BufoProject,BufoProject
124,415860,Tactical Craft Online,2016-02-12,Crematorium of Time,Crematorium of Time
125,516510,Orake Classic,2016-08-13,PigLion Games,PigLion Games
126,352700,Subspace Continuum,2015-07-03,"Virgin Interactive Entertainment, PriitK",Subspace Continuum
127,407060,AltspaceVR,2016-03-31,"AltspaceVR, Inc.","AltspaceVR, Inc."
128,444490,POLYWAR,2016-12-30,exagongames,New Reality Games
129,416450,Emporea: Realms of War and Magic,2016-03-17,Pixel Federation,Pixel Federation
130,297470,Xsyon - Prelude,2014-12-29,Notorious Games,Notorious Games
131,1223850,热血战歌,2020-03-13,热血战歌,热血战歌
132,535440,WAR7,2016-10-21,CPsoft,CPsoft
133,1200710,BadLads,2020-04-16,CHEMICAL HEADS STUDIOS,CHEMICAL HEADS STUDIOS
134,702180,Mafia is Alive,2017-10-05,ZO Studio Games,ZO Studio Games
135,1004710,POCKET CAR : VRGROUND,2019-01-08,Jamong Inc.,Jamong Inc.
136,990060,War Online: Pacific,2019-01-17,HiTech Creations Inc.,HiTech Creations Inc.
137,972920,Rebirth,2019-02-26,Pandora Entertainment,Pandora Entertainment
138,949330,Magicae Mundi,2018-10-17,Sylvestre Studio,
139,541190,Nodiatis,2016-11-14,"Glitchless, LLC","Glitchless, LLC"
140,985720,RUINS Survival,2019-07-04,ATD Game Studio,ATD Game Studio
141,928170,Blazing Core,2018-10-18,OctoBox Interactive,OctoBox Interactive
142,682620,Cosmos Invictus,2018-06-27,Pegnio Ltd,Pegnio Ltd
143,1140160,CATAPULT BATTLE SIMULATOR!,2019-08-29,SUREHIT STUDIO LLC,SUREHIT STUDIO LLC
