,ID,Game,ReleaseDate,Developer,Publisher
1041,612390,Dandara: Trials of Fear Edition,2018-02-06,Long Hat House,Raw Fury
1042,423810,Marooners,2016-09-15,M2H,M2H
1043,294370,Crowntakers,2014-11-07,Bulwark Studios,Kasedo Games
1044,752550,Ripped Pants at Work,2018-01-21,Scott Ethington,Scott Ethington
1045,71000,Evochron Mercenary,2012-01-16,StarWraith 3D Games LLC,StarWraith 3D Games LLC
1046,80200,Fate of the World,2011-02-28,Red Redemption,Soothsayer Games
1047,362680,Fran Bow,2015-08-27,Killmonday Games AB,Killmonday Games AB
1048,205020,Lumino City,2014-12-02,State of Play Games,State of Play Games
1049,1029890,Layers of Fear 2,2019-05-28,Bloober Team,"Gun Media, NA Publishing"
1050,474210,BUTCHER,2016-10-05,"Phobia Game Studio, Transhuman Design","Crunching Koalas, Transhuman Design"
1051,327560,Near Death,2016-08-02,Orthogonal Games,Orthogonal Games
1052,349270,Mosaic,2019-12-05,Krillbite Studio,Raw Fury
1053,361300,Mother Russia Bleeds,2016-09-05,Le Cartel Studio,Devolver Digital
1054,975950,Effie,2020-01-28,Inverge Studios,Inverge Studios
1055,338890,Harold,2015-02-12,Moon Spider Studio,Moon Spider Studio
1056,427570,Dawn of Andromeda,2017-05-04,Grey Wolf Entertainment,Iceberg Interactive
1057,200910,Before the Echo,2011-10-20,Iridium Studios,Daybreak Game Company
1058,403190,Planetbase,2015-10-15,Madruga Works,Madruga Works
1059,339580,Ember,2016-09-09,N-Fusion Interactive,505 Games
1060,270610,Mage's Initiation: Reign of the Elements,2019-01-30,Himalaya Studios,Himalaya Studios
1061,477160,Human: Fall Flat,2016-07-22,No Brakes Games,Curve Digital
1062,339840,The Moment of Silence,2005-03-01,House of Tales,HandyGames
1063,294750,Anomaly Defenders,2014-05-29,11 bit studios,11 bit studios
1064,315930,Bravada,2014-08-22,Interbellum team,Interbellum team
1065,361990,Lakeview Cabin Collection,2015-03-25,Roope Tamminen,Roope Tamminen
1066,599140,Graveyard Keeper,2018-08-15,Lazy Bear Games,tinyBuild
1067,439310,Until I Have You,2016-04-04,Wormwood Studios,Digital Tribe
1068,646600,Baobabs Mausoleum Ep.1: Ovnifagos Don´t Eat Flamingos,2017-07-06,Celery Emblem™,Zerouno Games
1069,1066260,Devolver Bootleg,2019-06-09,doinksoft,Devolver Digital
1070,428540,Fragments of Him,2016-05-03,Sassybot,Sassybot
1071,290530,Clandestine,2015-11-05,Logic Artists,Logic Artists
1072,602070,Plasma Puncher,2017-05-11,Tomatotrap,Tomatotrap
1073,417150,Pavilion,2016-09-23,Visiontrick Media,Visiontrick Media
1074,416830,Light Fall,2018-04-26,Bishop Games,Bishop Games
1075,261760,Lichdom: Battlemage,2014-08-26,Xaviant,Xaviant Games
1076,1002,Rag Doll Kung Fu,2005-10-12,Mark Healey,Mark Healey
1077,357340,Cobalt,2016-02-02,Oxeye Game Studio,Mojang
1078,351910,Valhalla Hills,2015-12-02,Funatics Software,Daedalic Entertainment
1079,226960,Ironclad Tactics,2013-09-18,Zachtronics,Zachtronics
1080,360840,Lumini,2015-09-03,Speelbaars,2Awesome Studio
1081,501320,The Shrouded Isle,2017-08-04,"Jongwoo Kim, Erica Lahaie, FX Bilodeau, Tanya Short",Kitfox Games
1082,102200,Runespell: Overture,2011-07-20,Mystic Box,Mystic Box
1083,557040,99Vidas,2016-12-22,QUByte Interactive,QUByte Interactive
1084,353640,Train Valley,2015-09-16,"Alexey Davydov, Sergey Dvoynikov, Timofey Shargorodskiy",Flazm
1085,621970,Trailblazers,2018-05-08,Supergonk,Rising Star Games
1086,848330,Pride Run,2019-10-11,"Steam Factory, Hard Ton, IV Productions",Green Man Gaming Publishing
1087,1054630,Tank battle,2019-11-08,"黄金炫游科技有限公司, 黄金612",黄金炫游科技有限公司
1088,363600,Holy Potatoes! A Weapon Shop?!,2015-07-13,Daylight Studios,"Daedalic Entertainment, Daylight Studios"
1089,436500,Diaries of a Spaceport Janitor,2016-09-16,Sundae Month,tinyBuild
1090,347470,Mayan Death Robots,2015-11-20,Sileni Studios,"Vermont Software Studios,LLC"
1091,677160,We Were Here Too,2018-02-02,Total Mayhem Games,Total Mayhem Games
1092,812160,Etherborn,2019-07-18,Altered Matter,Akupara Games
1093,772480,Super Inefficient Golf,2018-03-15,34BigThings srl,34BigThings srl
1094,400180,Okhlos: Omega,2016-08-18,Coffee Powered Machine,Devolver Digital
1095,15500,The Wonderful End of the World,2008-01-25,"Dejobaan Games, LLC","Dejobaan Games, LLC"
1096,633950,Fall of Light: Darkest Edition,2017-09-28,RuneHeads,1C Entertainment
1097,633460,Tannenberg,2017-11-16,"M2H, Blackmill Games",M2H
1098,600480,Megaquarium,2018-09-13,Twice Circled,Twice Circled
1099,233700,Sword of the Stars: The Pit,2013-02-21,Kerberos Productions Inc.,Kerberos Productions Inc.
1100,698640,Deep Sky Derelicts,2018-09-26,Snowhound Games,1C Entertainment
1101,232970,Thunder Wolves,2013-05-15,Most Wanted Entertainment,HandyGames
1102,244810,Foul Play,2013-09-18,"Mediatonic, The Irregular Corporation",Devolver Digital
1103,1011190,SIMULACRA 2,2020-01-30,Kaigan Games,Another Indie
1104,402630,The Coma: Cutting Class,2015-10-19,Devespresso Games,Devespresso Games
1105,255070,Abyss Odyssey,2014-07-15,ACE Team,SEGA
1106,105100,Lume,2011-05-09,State of Play Games,State of Play Games
1107,224480,Octodad: Dadliest Catch,2014-01-30,Young Horses,Young Horses
1108,397340,SimplePlanes,2015-12-17,"Jundroo, LLC","Jundroo, LLC"
1109,297060,Freaking Meatbags,2015-02-04,Wild Factor,Plug In Digital
1110,368590,Albert and Otto,2015-10-28,K Bros Games,K Bros Games
1111,301840,City of Brass,2018-05-04,Uppercut Games Pty Ltd,Uppercut Games Pty Ltd
1112,427250,8-Bit Armies,2016-04-22,Petroglyph,Petroglyph
1113,966670,The Wanderer: Frankenstein’s Creature,2019-10-30,"La Belle Games, ARTE France",ARTE France
1114,205530,Gratuitous Tank Battles,2012-05-17,Positech Games,Positech Games
1115,252490,Rust,2018-02-08,Facepunch Studios,Facepunch Studios
1116,632070,The Fidelio Incident,2017-05-23,"Act 3 Games, LLC","Act 3 Games, LLC"
1117,327310,The Marvellous Miss Take,2014-11-20,Wonderstruck,Rising Star Games
1118,1092660,Blair Witch,2019-08-30,Bloober Team,Bloober Team NA
1119,603400,FOX n FORESTS,2018-05-17,"Bonus Level Entertainment, Independent Arts Software",EuroVideo Medien 
1120,368080,Aurion: Legacy of the Kori-Odan,2016-04-14,Kiro'o Games,Dear Villagers
1121,437630,State of Mind,2018-08-15,Daedalic Entertainment,Daedalic Entertainment
1122,1019590,Lovely Planet 2: April Skies,2019-06-18,QUICKTEQUILA,tinyBuild
1123,2520,Gumboy - Crazy Adventures,2006-12-19,"CINEMAX, s.r.o.","CINEMAX, s.r.o."
1124,625740,Rifter,2018-07-12,IMakeGames,IMakeGames
1125,248550,Megabyte Punch,2013-10-15,Team Reptile,Team Reptile
1126,1209490,Exit the Gungeon,2020-03-17,"Dodge Roll, Singlecore",Devolver Digital
1127,306440,Oblitus,2015-02-27,Connor Ullmann,Adult Swim Games
1128,651500,My Memory of Us,2018-10-09,Juggler Games,IMGN.PRO
1129,244710,Shelter,2013-08-28,Might and Delight,Might and Delight
1130,336420,Bloodsports.TV,2015-03-30,"Toadman Interactive, Fatshark",Fatshark
1131,296180,Iron Storm,2002-10-25,Microids,Microids
1132,411000,Sorcery! Parts 1 and 2,2016-02-02,inkle Ltd,inkle Ltd
1133,215670,Home,2012-06-01,Benjamin Rivers Inc.,Benjamin Rivers Inc.
1134,709440,Override: Mech City Brawl,2018-12-03,The Balance Inc,Modus Games
1135,239820,Game Dev Tycoon,2013-08-29,Greenheart Games,Greenheart Games
1136,613100,House Flipper,2018-05-17,Empyrean,"Frozen District, PlayWay S.A."
1137,968370,The Blind Prophet,2020-02-05,ARS GOETIA,"ARS GOETIA, Plug In Digital, Maple Whispering Limited"
1138,35460,The Ball,2010-10-26,Teotl Studios,Tripwire Interactive
1139,402040,The Guest,2016-03-10,Team Gotham,505 Games
1140,528160,Solstice Chronicles: MIA,2017-07-26,Ironward,Nkidu Games Inc.
1141,533950,Don't open the doors!,2016-11-11,Anton Riot and Co,Anton Riot
1142,253330,Neverending Nightmares,2014-09-26,Infinitap Games,Infinitap Games
1143,385710,INK,2015-08-05,ZackBellGames,ZackBellGames
1144,695100,Smoke and Sacrifice,2018-05-31,Solar Sail Games Ltd,Curve Digital 
1145,367080,Songbringer,2017-09-01,Wizard Fu,"Wizard Fu, Double Eleven"
1146,228440,Cubemen 2,2013-04-08,3 Sprockets,3 Sprockets
1147,704860,Keepsake,2018-04-17,Wicked Studios,Wicked Studios
1148,765880,The Occupation,2019-03-05,White Paper Games,Humble Bundle
1149,493180,Dynasty Feud,2017-05-23,Kaia Studios,Kaia Studios
1150,689900,Darkestville Castle,2017-09-21,Epic LLama,Buka Entertainment
1151,41000,Serious Sam HD: The First Encounter,2009-11-24,Croteam,Devolver Digital
1152,11370,Nikopol: Secrets of the Immortals,2009-07-30,Meridian4,
1153,503560,911 Operator,2017-02-24,Jutsu Games,"Games Operators, PlayWay S.A."
1154,261510,Tesla Effect: A Tex Murphy Adventure,2014-05-08,Big Finish Games,SEGA
1155,327510,WASTED,2016-06-07,Mr. Podunkian,Adult Swim Games
1156,92300,A.R.E.S.: Extinction Agenda,2011-01-20,Extend Studio,"Extend Studio, ORiGO GAMES"
1157,370480,Pixel Galaxy,2015-10-02,Serenity Forge,Serenity Forge
1158,1077970,Dry Drowning,2019-08-02,"Studio V, VLG","VLG Publishing, WhisperGames"
1159,325060,Parallax,2015-03-10,Toasty Games,Toasty Games
1160,366910,The Long Journey Home,2017-05-30,Daedalic Studio West,Daedalic Entertainment
1161,512300,Unbox: Newbie's Adventure,2016-09-05,Prospect Games,Merge Games
1162,339690,Paperbound,2015-03-31,Dissident Logic,Dissident Logic
1163,357720,Inside My Radio,2015-05-11,Seaven Studio,Iceberg Interactive
1164,313080,The Masterplan,2015-06-04,Shark Punch,Shark Punch
1165,221260,Little Inferno,2012-11-19,Tomorrow Corporation,Tomorrow Corporation
1166,325370,Nova-111,2015-08-25,Funktronic Labs,Funktronic Labs
1167,313630,The Solus Project,2016-06-07,"Hourences, Grip Games",Teotl Studios
1168,46410,Avencast: Rise of the Mage,2010-03-17,ClockStone Studios,Meridian4
1169,388420,In Between,2015-08-21,Gentlymad,Headup Games
1170,366640,Shiness: The Lightning Kingdom,2017-04-18,Enigami,Focus Home Interactive
1171,751500,TINY METAL,2017-12-21,"AREA 35, Inc.",Sony Music Entertainment (Japan) Inc. / UNTIES
1172,793170,Seeking Dawn: Free to Play Edition,2018-11-01,Multiverse,Multiverse
1173,262830,Crimsonland,2014-06-11,10tons Ltd,10tons Ltd
1174,249650,Blackguards,2014-01-22,Daedalic Entertainment,Daedalic Entertainment
1175,546430,Pathway,2019-04-11,Robotality,Chucklefish
1176,393190,TSIOQUE,2018-11-07,"OhNoo Studio, Smile",OhNoo Studio
1177,354140,Five Nights at Freddy's 3,2015-03-02,Scott Cawthon,Scott Cawthon
1178,294440,Shadowgate,2014-08-21,Zojoi,Zojoi
1179,281750,Munin,2014-06-10,Gojira,Daedalic Entertainment
1180,859340,Seeking Dawn,2018-07-12,Multiverse,Multiverse
1181,396310,Masochisia,2015-10-09,Oldblood,Oldblood
1182,262470,Rollers of the Realm,2014-11-18,Phantom Compass,Phantom Compass
1183,404200,WARTILE,2018-02-08,Playwood Project,"Deck13, WhisperGames"
1184,435100,2Dark,2017-03-10,Gloomywood,Bigben Interactive
1185,696530,Lake Ridden,2018-05-10,Midnight Hub,Midnight Hub
1186,469820,Genital Jousting,2018-01-18,Free Lives,Devolver Digital
1187,306550,Runers,2014-09-02,LGK Games,Mastertronic
1188,512890,Elsinore,2019-07-23,Golden Glitch,Golden Glitch
1189,763250,The Spectrum Retreat,2018-07-13,Dan Smith Studios,Ripstone
1190,299480,Rogue Stormers,2016-09-08,Black Forest Games,"HandyGames, Black Forest Games"
1191,741510,The Hong Kong Massacre,2019-01-21,VRESKI,VRESKI
1192,263860,SPACECOM,2014-09-17,Flow Combine,11 bit studios
1193,331190,Master Spy,2015-09-08,TURBOGUN,TURBOGUN
1194,233980,UnEpic,2014-07-25,@unepic_fran,@unepic_fran
1195,288930,The Charnel House Trilogy,2015-04-16,Owl Cave,Owl Cave
1196,310080,Hatoful Boyfriend,2014-09-04,"Mediatonic, Hato Moa, The Irregular Corporation",Devolver Digital
1197,307570,A Golden Wake,2014-10-09,Grundislav Games,Wadjet Eye Games
1198,29160,Blueberry Garden,2009-06-01,Erik Svedäng,Erik Svedäng
1199,313130,Metrocide,2014-10-20,Flat Earth Games,Flat Earth Games
1200,837940,Mobile Forces,2018-06-08,Rage Software,Funbox Media Ltd
