,IV_count_Action,IV_count_Adventure,IV_count_Early+Access,IV_count_Ex+Early+Access,IV_count_Free,IV_count_Indie,IV_count_Massively,IV_count_RPG,IV_count_Simulation,IV_count_Sports,IV_count_Strategy,IV_count_Others
209,0,0,0,0,0,1779,0,0,565,0,0,0
210,0,0,0,0,0,1986,0,0,669,0,0,0
211,0,0,0,0,0,2166,0,0,701,0,0,0
212,0,0,0,0,0,1731,0,0,556,0,0,0
213,0,0,0,0,0,1827,0,0,620,0,0,0
214,0,0,0,0,0,1175,0,0,442,0,0,0
215,0,0,0,0,0,2545,0,0,846,0,0,0
216,0,0,0,0,0,1960,0,0,593,0,0,0
217,0,0,0,0,0,2704,0,0,792,0,0,0
218,0,0,0,0,0,1599,0,0,470,0,0,0
219,0,0,0,0,0,1724,0,0,583,0,0,0
220,0,0,0,0,0,1764,0,0,565,0,0,0
221,0,0,0,0,0,1779,0,0,565,0,0,0
222,0,0,0,0,0,1986,0,0,669,0,0,0
223,0,0,0,0,0,2166,0,0,701,0,0,0
224,0,0,0,0,0,1731,0,0,556,0,0,0
225,0,0,0,0,0,1827,0,0,620,0,0,0
226,0,0,0,0,0,1175,0,0,442,0,0,0
227,0,0,0,0,0,2545,0,0,846,0,0,0
228,0,0,0,0,0,1960,0,0,593,0,0,0
229,0,0,0,0,0,2704,0,0,792,0,0,0
230,0,0,0,0,0,1599,0,0,470,0,0,0
231,0,0,0,0,0,1724,0,0,583,0,0,0
232,0,0,0,0,0,1764,0,0,565,0,0,0
233,0,0,0,0,0,1779,0,0,565,0,0,0
234,0,0,0,0,0,1986,0,0,669,0,0,0
235,0,0,0,0,0,2166,0,0,701,0,0,0
236,0,0,0,0,0,1731,0,0,556,0,0,0
237,0,0,0,0,0,1827,0,0,620,0,0,0
238,0,0,0,0,0,1175,0,0,442,0,0,0
239,0,0,0,0,0,2545,0,0,846,0,0,0
240,1407,1160,0,225,0,1960,0,0,0,0,0,0
241,1996,1660,0,286,0,2704,0,0,0,0,0,0
242,1176,992,0,142,0,1599,0,0,0,0,0,0
243,1325,1079,0,225,0,1724,0,0,0,0,0,0
244,1361,1159,0,224,0,1764,0,0,0,0,0,0
245,1279,1038,0,236,0,1779,0,0,0,0,0,0
246,1539,1286,0,247,0,1986,0,0,0,0,0,0
247,1673,1384,0,283,0,2166,0,0,0,0,0,0
248,1240,1061,0,199,0,1731,0,0,0,0,0,0
249,1430,1204,0,224,0,1827,0,0,0,0,0,0
250,1030,834,0,181,0,1175,0,0,0,0,0,0
251,1891,1612,0,269,0,2545,0,0,0,0,0,0
252,0,1160,0,225,0,1960,0,590,0,0,677,0
253,0,1660,0,286,0,2704,0,782,0,0,899,0
254,0,992,0,142,0,1599,0,492,0,0,557,0
255,0,1079,0,225,0,1724,0,533,0,0,696,0
256,0,1159,0,224,0,1764,0,601,0,0,669,0
257,0,1038,0,236,0,1779,0,561,0,0,651,0
258,0,1286,0,247,0,1986,0,629,0,0,715,0
259,0,1384,0,283,0,2166,0,706,0,0,776,0
260,0,1061,0,199,0,1731,0,562,0,0,609,0
