,IV_count_Action,IV_count_Adventure,IV_count_Early+Access,IV_count_Ex+Early+Access,IV_count_Free,IV_count_Indie,IV_count_Massively,IV_count_RPG,IV_count_Simulation,IV_count_Sports,IV_count_Strategy,IV_count_Others
377,0,0,0,0,0,4379,0,0,1312,0,1588,0
378,2319,0,0,0,0,3471,0,0,0,0,0,0
379,2813,0,0,0,0,4115,0,0,0,0,0,0
380,2201,0,0,0,0,3231,0,0,0,0,0,0
381,3112,0,0,0,0,4656,0,0,0,0,0,0
382,2851,0,0,0,0,4276,0,0,0,0,0,0
383,2949,0,0,0,0,4379,0,0,0,0,0,0
384,2319,0,0,0,0,0,0,0,0,0,0,0
385,2813,0,0,0,0,0,0,0,0,0,0,0
386,2201,0,0,0,0,0,0,0,0,0,0,0
387,3112,0,0,0,0,0,0,0,0,0,0,0
388,2851,0,0,0,0,0,0,0,0,0,0,0
389,2949,0,0,0,0,0,0,0,0,0,0,0
390,2319,2040,0,0,0,0,0,0,0,0,0,0
391,2813,2448,0,0,0,0,0,0,0,0,0,0
392,2201,1987,0,0,0,0,0,0,0,0,0,0
393,3112,2787,0,0,0,0,0,0,0,0,0,0
394,2851,2515,0,0,0,0,0,0,0,0,0,0
395,2949,2693,0,0,0,0,0,0,0,0,0,0
396,0,2040,184,0,0,3471,0,0,969,0,1169,0
397,0,2448,282,0,0,4115,0,0,1221,0,1346,0
398,0,1987,236,0,0,3231,0,0,1013,0,1171,0
399,0,2787,360,0,0,4656,0,0,1397,0,1584,0
400,0,2515,366,0,0,4276,0,0,1321,0,1490,0
401,0,2693,406,0,0,4379,0,0,1312,0,1588,0
402,2319,2040,0,0,0,3471,0,0,0,0,0,0
403,2813,2448,0,0,0,4115,0,0,0,0,0,0
404,2201,1987,0,0,0,3231,0,0,0,0,0,0
405,3112,2787,0,0,0,4656,0,0,0,0,0,0
406,2851,2515,0,0,0,4276,0,0,0,0,0,0
407,2949,2693,0,0,0,4379,0,0,0,0,0,0
408,2319,0,184,0,0,3471,0,0,0,0,0,0
409,2813,0,282,0,0,4115,0,0,0,0,0,0
410,2201,0,236,0,0,3231,0,0,0,0,0,0
411,3112,0,360,0,0,4656,0,0,0,0,0,0
412,2851,0,366,0,0,4276,0,0,0,0,0,0
413,2949,0,406,0,0,4379,0,0,0,0,0,0
414,2319,2040,0,0,0,3471,0,0,0,0,0,0
415,2813,2448,0,0,0,4115,0,0,0,0,0,0
416,2201,1987,0,0,0,3231,0,0,0,0,0,0
417,3112,2787,0,0,0,4656,0,0,0,0,0,0
418,2851,2515,0,0,0,4276,0,0,0,0,0,0
419,2949,2693,0,0,0,4379,0,0,0,0,0,0
420,2319,2040,0,0,0,0,0,971,0,0,0,0
421,2813,2448,0,0,0,0,0,1192,0,0,0,0
422,2201,1987,0,0,0,0,0,1016,0,0,0,0
423,3112,2787,0,0,0,0,0,1450,0,0,0,0
424,2851,2515,0,0,0,0,0,1267,0,0,0,0
425,2949,2693,0,0,0,0,0,1348,0,0,0,0
426,0,0,0,269,0,3471,0,0,969,0,0,0
427,0,0,0,387,0,4115,0,0,1221,0,0,0
428,0,0,0,328,0,3231,0,0,1013,0,0,0
429,0,0,0,372,0,4656,0,0,1397,0,0,0
430,0,0,0,355,0,4276,0,0,1321,0,0,0
431,0,0,0,333,0,4379,0,0,1312,0,0,0
432,2319,0,0,0,0,3471,0,0,0,0,0,0
433,2813,0,0,0,0,4115,0,0,0,0,0,0
434,2201,0,0,0,0,3231,0,0,0,0,0,0
435,3112,0,0,0,0,4656,0,0,0,0,0,0
436,2851,0,0,0,0,4276,0,0,0,0,0,0
437,2949,0,0,0,0,4379,0,0,0,0,0,0
438,2319,2040,0,0,0,3471,0,0,0,0,0,0
439,2813,2448,0,0,0,4115,0,0,0,0,0,0
440,2201,1987,0,0,0,3231,0,0,0,0,0,0
441,3112,2787,0,0,0,4656,0,0,0,0,0,0
442,2851,2515,0,0,0,4276,0,0,0,0,0,0
443,2949,2693,0,0,0,4379,0,0,0,0,0,0
444,0,2040,0,0,0,0,0,0,0,0,0,0
445,0,2448,0,0,0,0,0,0,0,0,0,0
446,0,1987,0,0,0,0,0,0,0,0,0,0
447,0,2787,0,0,0,0,0,0,0,0,0,0
448,0,2515,0,0,0,0,0,0,0,0,0,0
449,0,2693,0,0,0,0,0,0,0,0,0,0
450,2319,0,0,0,0,0,0,0,0,0,0,0
451,2813,0,0,0,0,0,0,0,0,0,0,0
452,2201,0,0,0,0,0,0,0,0,0,0,0
453,3112,0,0,0,0,0,0,0,0,0,0,0
454,2851,0,0,0,0,0,0,0,0,0,0,0
455,2949,0,0,0,0,0,0,0,0,0,0,0
456,2319,0,0,0,0,0,0,971,0,0,0,0
457,2813,0,0,0,0,0,0,1192,0,0,0,0
458,2201,0,0,0,0,0,0,1016,0,0,0,0
459,3112,0,0,0,0,0,0,1450,0,0,0,0
460,2851,0,0,0,0,0,0,1267,0,0,0,0
461,2949,0,0,0,0,0,0,1348,0,0,0,0
462,2319,0,0,0,0,0,0,0,0,0,0,0
463,2813,0,0,0,0,0,0,0,0,0,0,0
464,2201,0,0,0,0,0,0,0,0,0,0,0
465,3112,0,0,0,0,0,0,0,0,0,0,0
466,2851,0,0,0,0,0,0,0,0,0,0,0
467,2949,0,0,0,0,0,0,0,0,0,0,0
468,0,0,0,0,0,3471,0,0,0,0,1169,0
469,0,0,0,0,0,4115,0,0,0,0,1346,0
470,0,0,0,0,0,3231,0,0,0,0,1171,0
471,0,0,0,0,0,4656,0,0,0,0,1584,0
472,0,0,0,0,0,4276,0,0,0,0,1490,0
473,0,0,0,0,0,4379,0,0,0,0,1588,0
474,0,0,0,0,0,3471,0,0,969,0,1169,0
475,0,0,0,0,0,4115,0,0,1221,0,1346,0
476,0,0,0,0,0,3231,0,0,1013,0,1171,0
477,0,0,0,0,0,4656,0,0,1397,0,1584,0
478,0,0,0,0,0,4276,0,0,1321,0,1490,0
479,0,0,0,0,0,4379,0,0,1312,0,1588,0
480,0,2040,0,0,0,3471,0,0,0,0,0,0
481,0,2448,0,0,0,4115,0,0,0,0,0,0
482,0,1987,0,0,0,3231,0,0,0,0,0,0
483,0,2787,0,0,0,4656,0,0,0,0,0,0
484,0,2515,0,0,0,4276,0,0,0,0,0,0
